productId,name,ticker,qsip,cusip,isin
2535009,The Hedged Strategies Fund QP LP,XHEDGRS,,,
2667925,IBBA INT. PLC SN 8650,XS1176579149,,,
2732352,Holland & Hart-Retirement Svgs,XARKELL,,,
2729974,Hal & Nancy Ward Lamar Deferred Comp,XWARD,,,
1509031,Hcw Pension Real Estate Fund Limited Partnership,XXSWB,,,
152579,Alleghany Corp,Y,,,
2469140,Yankee Energy System Inc,YES,,,
2726519,Yamazaki Baking Lt Ordf,YZZKF,,,
1460306,Allied Properties Hk,Y00890213,,,
1582016,Pacific Shipping Trust Units Shipping Busi,Y6587M102,,,
1570791,Grand Foundry,Y2843P112,,,
1588798,Thoresen Thai Agencies Rights,Y8899A107,,,
1595413,AdvisorShares YieldPro,YPRO,,,
1810559,Yonkers Financial Corp,YFCB,,,
497270,Global Ship Lease Inc Wt Exp 8/24/2010,Y27183113,,,
532428,Yatinoo Inc,YTNO,,,
597009,Yongye International Inc,YONG,,,
623158,Invesco China All-Cap,YAO,,,
638091,Call Genco Shipping Jan @ 25,Y2685U9AE,,,
747657,Yell Group PLC,YELGF,,,
758530,Yukon Zinc Corp,YZCCF,,,
781039,Y0698A362,Y0698A362,,,
766512,Yieldquest Fds Tr Total Return,YFTRZ,,,
846244,Realmark Property,YYEUE,,,
850801,Wharf Holdings 11 Rtsf Rights Exp 3/11/11,Y8800U143,,,
110592,Korea Thrunet Co Ltd,Y49975124,,,
194486,SW Royalties Income Fund VI Units LP Int,YYJKB,,,
330332,Yardville Natl Bancorp,YANB,,,
363142,Yieldquest Core Equity Inv,YCEIX,,,
441566,Yanglin Soybean Inc,YSYB,,,
2053490,Zillow Group Inc C,Z,,,
469332,Exxaro Resources Ltd,EXXAF,,,
441460,Wesizwe Platinum,WSZWF,,,
646228,Anglogold Ltd,AULGF,,,
1217472,Kumba Iron Ore Ltd,KUMBF,,,
1876318,Vukile Property Fd Ord,VKPPF,,,
937478,African Bank Investments Ltd,AFRVF,,,
2556139,Adcock Ingram Holdings,AIHLF,,,
2678379,Sun International Ordf,S8250P120,,,
1037892,Zccm Investment Holdings Company Plc Shs B,ZCCMF,,,
1293513,Capitec Bank Holdings Limited,S15445109,,,
2056290,Aspen Pharmacare Ord F,APNHF,,,
2267044,Spar Group Ltd,SGPPF,,,
1216450,Illovo Sugar Ltd,ILVOF,,,
2351649,Sappi LTD - Ord,SPPJF,,,
543941,Au Min Africa Pty Ltd.,GRYEF,,,
985135,Life Healthcare,LTGHF,,,
998186,Mpact Shs,MPPTF,,,
2417577,Tiger Brands Ord Zar0.10,TBLMF,,,
543949,Harmony Gold Mines O,HGMCF,,,
616506,Standard Bk Gp,SBGOF,,,
724735,Anglo Platinum Ltd,AGPPF,,,
446865,Jse Ltd,JSEJF,,,
1,SPDR Dow Jones Industrial Average,DIA,,,
802918,BAA-Age-Based Aggressive 0-8 Years,1,,,
2575000,1,RE1000750,,,
2574999,1,RE1000740,,,
2574977,1,RE1000232,,,
2574981,1,RE1000349,,,
2574997,1,RE1000720,,,
2574976,1,RE1000224,,,
2575001,1,RE1000760,,,
2574987,1,RE1000560,,,
2574998,1,RE1000730,,,
2204962,American General Hospitality,AGT-old2,,,
2204744,QUO-Vanguard Short-Term Investment Grade,UN:0005194F1905,,,
2204746,QUO-Columbia VP - AQR Managed Futures Strategy,UN:000753C21905,,,
2204965,Petroleum Heat & Power Co,HEAT-old,,,
2205149,Invesco Unit Trs Unit 1617 Global 45 Divid Strategy Port 2016-1 Quarterly Reinvest,46134P718,,,
2205161,Rpc Group Plc Ord Gbp0.05 Sub Rts Exp 1/19/2016,G76EXR064,,,
2205144,Ft Unit 5606 Intl Cap Strength Port Ser 26 Semi Annual Reinvestment,30286W465,,,
2205186,Ft Unit 5940 Target Global Dvd Leaders 1Q 16 Term 4/7/17,30287Y452,,,
